tablescraper-selected-row,tablescraper-selected-row href,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row href 2,tablescraper-selected-row 4,tablescraper-selected-row href 3
00723,https://www.zipdatamaps.com/00723,Non-Unique,Patillas,https://www.zipdatamaps.com/zipcodes-patillas-pr,Patillas,https://www.zipdatamaps.com/patillas-pr-county-zipcodes
00725,https://www.zipdatamaps.com/00725,Non-Unique,Caguas,https://www.zipdatamaps.com/zipcodes-caguas-pr,Caguas,https://www.zipdatamaps.com/caguas-pr-county-zipcodes
00726,https://www.zipdatamaps.com/00726,PO Box,Caguas,https://www.zipdatamaps.com/zipcodes-caguas-pr,Jayuya,https://www.zipdatamaps.com/jayuya-pr-county-zipcodes
00727,https://www.zipdatamaps.com/00727,Non-Unique,Caguas,https://www.zipdatamaps.com/zipcodes-caguas-pr,Caguas,https://www.zipdatamaps.com/caguas-pr-county-zipcodes
00728,https://www.zipdatamaps.com/00728,Non-Unique,Ponce,https://www.zipdatamaps.com/zipcodes-ponce-pr,Ponce,https://www.zipdatamaps.com/ponce-pr-county-zipcodes
00729,https://www.zipdatamaps.com/00729,Non-Unique,Canovanas,https://www.zipdatamaps.com/zipcodes-canovanas-pr,Canovanas,https://www.zipdatamaps.com/canovanas-pr-county-zipcodes
00730,https://www.zipdatamaps.com/00730,Non-Unique,Ponce,https://www.zipdatamaps.com/zipcodes-ponce-pr,Ponce,https://www.zipdatamaps.com/ponce-pr-county-zipcodes
00731,https://www.zipdatamaps.com/00731,Non-Unique,Ponce,https://www.zipdatamaps.com/zipcodes-ponce-pr,Ponce,https://www.zipdatamaps.com/ponce-pr-county-zipcodes
00732,https://www.zipdatamaps.com/00732,PO Box,Ponce,https://www.zipdatamaps.com/zipcodes-ponce-pr,Ponce,https://www.zipdatamaps.com/ponce-pr-county-zipcodes
00733,https://www.zipdatamaps.com/00733,PO Box,Ponce,https://www.zipdatamaps.com/zipcodes-ponce-pr,Ponce,https://www.zipdatamaps.com/ponce-pr-county-zipcodes
00734,https://www.zipdatamaps.com/00734,PO Box,Ponce,https://www.zipdatamaps.com/zipcodes-ponce-pr,Ponce,https://www.zipdatamaps.com/ponce-pr-county-zipcodes
00735,https://www.zipdatamaps.com/00735,Non-Unique,Ceiba,https://www.zipdatamaps.com/zipcodes-ceiba-pr,Ceiba,https://www.zipdatamaps.com/ceiba-pr-county-zipcodes
00736,https://www.zipdatamaps.com/00736,Non-Unique,Cayey,https://www.zipdatamaps.com/zipcodes-cayey-pr,Cayey,https://www.zipdatamaps.com/cayey-pr-county-zipcodes
00737,https://www.zipdatamaps.com/00737,PO Box,Cayey,https://www.zipdatamaps.com/zipcodes-cayey-pr,Cayey,https://www.zipdatamaps.com/cayey-pr-county-zipcodes
00738,https://www.zipdatamaps.com/00738,Non-Unique,Fajardo,https://www.zipdatamaps.com/zipcodes-fajardo-pr,Fajardo,https://www.zipdatamaps.com/fajardo-pr-county-zipcodes
00739,https://www.zipdatamaps.com/00739,Non-Unique,Cidra,https://www.zipdatamaps.com/zipcodes-cidra-pr,Cidra,https://www.zipdatamaps.com/cidra-pr-county-zipcodes
00740,https://www.zipdatamaps.com/00740,Non-Unique,Puerto Real,https://www.zipdatamaps.com/zipcodes-puerto-real-pr,Fajardo,https://www.zipdatamaps.com/fajardo-pr-county-zipcodes
00741,https://www.zipdatamaps.com/00741,Non-Unique,Punta Santiago,https://www.zipdatamaps.com/zipcodes-punta-santiago-pr,Humacao,https://www.zipdatamaps.com/humacao-pr-county-zipcodes
00742,https://www.zipdatamaps.com/00742,PO Box,Roosevelt Roads,https://www.zipdatamaps.com/zipcodes-roosevelt-roads-pr,Ceiba,https://www.zipdatamaps.com/ceiba-pr-county-zipcodes
00744,https://www.zipdatamaps.com/00744,PO Box,Rio Blanco,https://www.zipdatamaps.com/zipcodes-rio-blanco-pr,Naguabo,https://www.zipdatamaps.com/naguabo-pr-county-zipcodes
00745,https://www.zipdatamaps.com/00745,Non-Unique,Rio Grande,https://www.zipdatamaps.com/zipcodes-rio-grande-pr,Rio Grande,https://www.zipdatamaps.com/rio-grande-pr-county-zipcodes
00751,https://www.zipdatamaps.com/00751,Non-Unique,Salinas,https://www.zipdatamaps.com/zipcodes-salinas-pr,Salinas,https://www.zipdatamaps.com/salinas-pr-county-zipcodes
00754,https://www.zipdatamaps.com/00754,Non-Unique,San Lorenzo,https://www.zipdatamaps.com/zipcodes-san-lorenzo-pr,San Lorenzo,https://www.zipdatamaps.com/san-lorenzo-pr-county-zipcodes
00757,https://www.zipdatamaps.com/00757,Non-Unique,Santa Isabel,https://www.zipdatamaps.com/zipcodes-santa-isabel-pr,Santa Isabel,https://www.zipdatamaps.com/santa-isabel-pr-county-zipcodes
00765,https://www.zipdatamaps.com/00765,Non-Unique,Vieques,https://www.zipdatamaps.com/zipcodes-vieques-pr,Vieques,https://www.zipdatamaps.com/vieques-pr-county-zipcodes
00766,https://www.zipdatamaps.com/00766,Non-Unique,Villalba,https://www.zipdatamaps.com/zipcodes-villalba-pr,Villalba,https://www.zipdatamaps.com/villalba-pr-county-zipcodes
00767,https://www.zipdatamaps.com/00767,Non-Unique,Yabucoa,https://www.zipdatamaps.com/zipcodes-yabucoa-pr,Yabucoa,https://www.zipdatamaps.com/yabucoa-pr-county-zipcodes
00769,https://www.zipdatamaps.com/00769,Non-Unique,Coamo,https://www.zipdatamaps.com/zipcodes-coamo-pr,Coamo,https://www.zipdatamaps.com/coamo-pr-county-zipcodes
00771,https://www.zipdatamaps.com/00771,Non-Unique,Las Piedras,https://www.zipdatamaps.com/zipcodes-las-piedras-pr,Las Piedras,https://www.zipdatamaps.com/las-piedras-pr-county-zipcodes
00772,https://www.zipdatamaps.com/00772,Non-Unique,Loiza,https://www.zipdatamaps.com/zipcodes-loiza-pr,Loiza,https://www.zipdatamaps.com/loiza-pr-county-zipcodes
00773,https://www.zipdatamaps.com/00773,Non-Unique,Luquillo,https://www.zipdatamaps.com/zipcodes-luquillo-pr,Luquillo,https://www.zipdatamaps.com/luquillo-pr-county-zipcodes
00775,https://www.zipdatamaps.com/00775,Non-Unique,Culebra,https://www.zipdatamaps.com/zipcodes-culebra-pr,Culebra,https://www.zipdatamaps.com/culebra-pr-county-zipcodes
00777,https://www.zipdatamaps.com/00777,Non-Unique,Juncos,https://www.zipdatamaps.com/zipcodes-juncos-pr,Juncos,https://www.zipdatamaps.com/juncos-pr-county-zipcodes
00778,https://www.zipdatamaps.com/00778,Non-Unique,Gurabo,https://www.zipdatamaps.com/zipcodes-gurabo-pr,Gurabo,https://www.zipdatamaps.com/gurabo-pr-county-zipcodes
00780,https://www.zipdatamaps.com/00780,Non-Unique,Coto Laurel,https://www.zipdatamaps.com/zipcodes-coto-laurel-pr,Ponce,https://www.zipdatamaps.com/ponce-pr-county-zipcodes
00782,https://www.zipdatamaps.com/00782,Non-Unique,Comerio,https://www.zipdatamaps.com/zipcodes-comerio-pr,Comerio,https://www.zipdatamaps.com/comerio-pr-county-zipcodes
00783,https://www.zipdatamaps.com/00783,Non-Unique,Corozal,https://www.zipdatamaps.com/zipcodes-corozal-pr,Corozal,https://www.zipdatamaps.com/corozal-pr-county-zipcodes
00784,https://www.zipdatamaps.com/00784,Non-Unique,Guayama,https://www.zipdatamaps.com/zipcodes-guayama-pr,Guayama,https://www.zipdatamaps.com/guayama-pr-county-zipcodes
00785,https://www.zipdatamaps.com/00785,PO Box,Guayama,https://www.zipdatamaps.com/zipcodes-guayama-pr,Guayama,https://www.zipdatamaps.com/guayama-pr-county-zipcodes
00786,https://www.zipdatamaps.com/00786,PO Box,La Plata,https://www.zipdatamaps.com/zipcodes-la-plata-pr,Aibonito,https://www.zipdatamaps.com/aibonito-pr-county-zipcodes
00791,https://www.zipdatamaps.com/00791,Non-Unique,Humacao,https://www.zipdatamaps.com/zipcodes-humacao-pr,Humacao,https://www.zipdatamaps.com/humacao-pr-county-zipcodes
00792,https://www.zipdatamaps.com/00792,PO Box,Humacao,https://www.zipdatamaps.com/zipcodes-humacao-pr,Humacao,https://www.zipdatamaps.com/humacao-pr-county-zipcodes
00794,https://www.zipdatamaps.com/00794,Non-Unique,Barranquitas,https://www.zipdatamaps.com/zipcodes-barranquitas-pr,Barranquitas,https://www.zipdatamaps.com/barranquitas-pr-county-zipcodes
00795,https://www.zipdatamaps.com/00795,Non-Unique,Juana Diaz,https://www.zipdatamaps.com/zipcodes-juana-diaz-pr,Juana Diaz,https://www.zipdatamaps.com/juana-diaz-pr-county-zipcodes
00901,https://www.zipdatamaps.com/00901,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00902,https://www.zipdatamaps.com/00902,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00906,https://www.zipdatamaps.com/00906,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00907,https://www.zipdatamaps.com/00907,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00908,https://www.zipdatamaps.com/00908,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00909,https://www.zipdatamaps.com/00909,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00910,https://www.zipdatamaps.com/00910,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00911,https://www.zipdatamaps.com/00911,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00912,https://www.zipdatamaps.com/00912,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00913,https://www.zipdatamaps.com/00913,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00914,https://www.zipdatamaps.com/00914,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00915,https://www.zipdatamaps.com/00915,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00916,https://www.zipdatamaps.com/00916,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00917,https://www.zipdatamaps.com/00917,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00918,https://www.zipdatamaps.com/00918,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00919,https://www.zipdatamaps.com/00919,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00920,https://www.zipdatamaps.com/00920,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00921,https://www.zipdatamaps.com/00921,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00922,https://www.zipdatamaps.com/00922,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00923,https://www.zipdatamaps.com/00923,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00924,https://www.zipdatamaps.com/00924,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00925,https://www.zipdatamaps.com/00925,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00926,https://www.zipdatamaps.com/00926,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00927,https://www.zipdatamaps.com/00927,Non-Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00928,https://www.zipdatamaps.com/00928,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00929,https://www.zipdatamaps.com/00929,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00930,https://www.zipdatamaps.com/00930,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00931,https://www.zipdatamaps.com/00931,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00933,https://www.zipdatamaps.com/00933,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00934,https://www.zipdatamaps.com/00934,Non-Unique,Fort Buchanan,https://www.zipdatamaps.com/zipcodes-fort-buchanan-pr,Guaynabo,https://www.zipdatamaps.com/guaynabo-pr-county-zipcodes
00935,https://www.zipdatamaps.com/00935,Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00936,https://www.zipdatamaps.com/00936,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00937,https://www.zipdatamaps.com/00937,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00939,https://www.zipdatamaps.com/00939,Unique,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
00940,https://www.zipdatamaps.com/00940,PO Box,San Juan,https://www.zipdatamaps.com/zipcodes-san-juan-pr,San Juan,https://www.zipdatamaps.com/san-juan-pr-county-zipcodes
